batch_id,assembly_id,batch_condition,variation_multiplier,n_components,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
3,23,disturbed,1.5,5,high+extreme+extreme+medium+medium,offset+offset+waviness+bend+waviness,0.46854524742707665,0.918875846187367,1.3552885354767275,0.49693431158606094,0.8725063198859575
3,24,disturbed,1.5,5,medium+extreme+medium+medium+low,mixed+tilt+mixed+offset+offset,1.2984246006809916,1.795501104381096,0.4356133532497972,1.3440128290230422,1.1932630003958697
3,25,disturbed,1.5,5,extreme+extreme+medium+high+medium,twist+twist+offset+mixed+offset,2.195993658221465,2.6930322218285263,1.355288535476728,2.255924332059486,2.0988867578639643
3,26,disturbed,1.5,5,high+high+medium+medium+high,tilt+mixed+mixed+mixed+tilt,1.392994851076373,1.9364553704444953,1.511569035320236,1.501902681415876,1.602496045193919
3,27,disturbed,1.5,5,medium+extreme+medium+extreme+high,waviness+twist+mixed+offset+mixed,0.9272418130268439,1.8706133031071264,1.0950545325645635,1.0144309130040807,1.269315985909968
3,28,disturbed,1.5,5,high+medium+extreme+high+high,mixed+tilt+mixed+mixed+waviness,1.3070088961873416,2.4063828361941186,2.854856472980111,1.5414682897749405,2.1246212905859654
3,29,disturbed,1.5,5,medium+high+extreme+extreme+medium,mixed+mixed+tilt+waviness+offset,0.9259460645434929,1.642766362639108,1.0787323266480244,1.052019531670041,1.1994353793161916
3,30,disturbed,1.5,5,extreme+medium+low+high+high,mixed+mixed+offset+mixed+mixed,0.4433200355277428,0.9324246256382771,0.7119575235527869,0.5398158880453855,0.6802922442201805
4,31,normal,1.0,5,medium+low+medium+low+high,mixed+bend+mixed+mixed+tilt,0.6302049935769496,0.8796665218319557,0.16544359067262,0.6463992754555072,0.5672344593700083
4,32,normal,1.0,5,low+medium+medium+medium+low,mixed+mixed+mixed+mixed+offset,0.9937036388111445,1.2409438751417756,0.5601645830508124,1.0246741823092576,0.9409110473320456
4,33,normal,1.0,5,medium+medium+high+high+extreme,bend+waviness+waviness+mixed+mixed,1.4383495289200792,2.1653760341745443,4.440892098500626e-16,1.502081834483042,1.2313258523766915
4,34,normal,1.0,5,medium+low+low+high+low,mixed+bend+tilt+mixed+mixed,0.49405649247165556,0.8751383195040066,0.9610087533841507,0.5332764357373542,0.7523887131816792
4,35,normal,1.0,5,medium+high+low+high+low,bend+waviness+mixed+twist+bend,0.14036626788750983,0.34587105618058933,1.06029678513162e-16,0.17355982056070393,0.16322717927650016
4,36,normal,1.0,5,low+low+extreme+medium+high,bend+mixed+waviness+waviness+offset,0.6628641952722315,0.9077422738428067,0.11475203455772331,0.6775833196787527,0.5733658830697037
4,37,normal,1.0,5,medium+medium+medium+low+medium,tilt+mixed+bend+mixed+mixed,0.28977074170544725,0.5283957040597955,0.05225851345154364,0.3261817515340749,0.2937456629184434
4,38,normal,1.0,5,low+medium+high+medium+low,tilt+bend+twist+twist+tilt,0.056766076799282195,0.081799596320419,0.1608069666801327,0.06228587045349224,0.09604037898529938
4,39,normal,1.0,5,low+medium+medium+medium+medium,mixed+mixed+twist+offset+twist,0.19063073235555375,0.40357470904521486,0.20951310995419387,0.2080463629260045,0.2619202016990892
4,40,normal,1.0,5,medium+medium+low+medium+extreme,tilt+bend+waviness+offset+mixed,0.4262109338505234,0.7284284206931371,0.23628759246191972,0.46116201402851575,0.46339428550452566
5,41,angular_drift,1.0,5,medium+low+high+high+medium,offset+tilt+tilt+offset+tilt,0.6211596699767711,1.4145674590175206,1.5166333450071365,0.7577613837748233,1.1414842805779108
5,42,angular_drift,1.0,5,low+medium+extreme+medium+medium,bend+mixed+bend+twist+bend,1.113809625055215,1.6044850520935516,0.9223138604264784,1.1934685452944895,1.2115294158020224
5,43,angular_drift,1.0,5,medium+extreme+medium+low+high,bend+mixed+tilt+mixed+twist,0.7423963286075542,1.6422865818725096,1.6756432102180832,0.8901287408753715,1.3071107102969812
5,44,angular_drift,1.0,5,medium+high+medium+low+medium,mixed+mixed+twist+twist+mixed,0.6211063751662943,1.472754263448192,2.0276401380008107,0.7682934233696231,1.3132795753215514
5,45,angular_drift,1.0,5,medium+medium+medium+medium+medium,tilt+mixed+mixed+tilt+mixed,0.9548347335181994,1.5015536458044947,1.4231943782829857,1.038537980663132,1.2677286253480171
5,46,angular_drift,1.0,5,high+low+low+low+medium,twist+mixed+mixed+twist+offset,0.6342773877495504,1.444251916767786,2.367310892817308,0.743300506817839,1.4080821098821772
5,47,angular_drift,1.0,5,high+high+high+low+extreme,tilt+mixed+bend+bend+offset,0.16681472393979996,0.4253341093769424,0.4235422439907413,0.2028931218103851,0.32499663537328366
5,48,angular_drift,1.0,5,medium+medium+extreme+high+low,mixed+tilt+waviness+offset+tilt,0.49318219739388663,1.1710080982049687,1.5570585037544584,0.6064420437039486,1.0270188441763888
5,49,angular_drift,1.0,5,high+medium+medium+extreme+medium,mixed+bend+bend+tilt+mixed,0.3771065702721586,0.9681312049454924,1.418160946321632,0.4354660043076864,0.8725662168925535
5,50,angular_drift,1.0,5,low+high+medium+medium+low,waviness+twist+tilt+mixed+waviness,0.4216641608182011,0.7523841566270544,1.504730665524854,0.46914990262446343,0.8505486851534791
